Feature Title,Feature Text
Feature 1,The thinnest Apple Watch ever\, with our biggest display. With a new Wide-Angle Always-On OLED Retina display
 Footnote
Feature 2,Get health insights day and night. Now with sleep apnea notifications
  footnote
Feature 3,Track all your workouts and activity. New sensors for water sports
Feature 4,Faster charging gives you up to 80 percent battery in 30 minutes
 Footnote 
∆
Feature 5,Get help in an emergency or if you fall or are in a car crash
  footnote  
°
Model1,Model2
Apple Watch SE (2nd generation),Apple Watch Series 10
44mm or 40mm
aluminum case,46mm or 42mm
aluminum or titanium case
LTPO OLED Retina display,LTPO3 OLED Always-on Retina display
—,Wide-angle OLED
Up to 1000 nits,Up to 2000 nits
—,Up to 40% brighter when viewed at an angle
—,ECG app1
High and low
heart rate notifications,High and low
heart rate notifications
Irregular rhythm
notifications2,Irregular rhythm
notifications2
Low cardio fitness
notifications,Low cardio fitness
notifications
Sleep tracking,Sleep tracking
—,Sleep apnea notifications3
Vitals app featuring heart rate\, respiratory rate\, and sleep duration4,Vitals app featuring heart rate\, respiratory rate\, wrist temperature\, and sleep duration4
—,Temperature sensing5
Cycle Tracking,Cycle Tracking with retrospective ovulation estimates6
Emergency SOS7,Emergency SOS7
International
emergency calling8,International
emergency calling8
Fall Detection
and Crash Detection7,Fall Detection
and Crash Detection7
50m,50m
Water resistant9,Water resistant10
Swimproof,Swimproof
—,Depth gauge to 6m
—,Water temperature sensor
GPS,GPS
Cellular and Wi-Fi only options 23,Cellular and Wi-Fi only options 23
S8 SiP,S10 SiP
—,Double tap gesture
Siri,Fast on-device Siri with health data access
Find iPhone,Precision Finding
for iPhone24
Up to 18 hours25,Up to 18 hours26
Low Power Mode,Up to 36 hours in
Low Power Mode26
—,Faster charging
(0–80% in about 30 minutes)38
GPS + Cellular,GPS + Cellular
Aluminum available in midnight\, starlight\, and silver,Aluminum available in jet black\, rose gold\, and silver
—,Titanium available in slate\, gold\, and natural
GPS,GPS
Aluminum available in midnight\, starlight\, and silver,Aluminum available in jet black\, rose gold\, and silver
—
Not available,Apple Watch Hermès
—,Titanium available in silver
44mm by 38mm by 10.7mm (44mm)
32.9 grams (GPS)
33.0 grams (GPS + Cellular),46mm by 39mm by 9.7mm (46mm)
36.4 grams (aluminum\, GPS)
35.3 grams (aluminum\, GPS + Cellular)
41.7 grams (titanium)
40mm by 34mm by 10.7mm (40mm)
26.4 grams (GPS)
27.8 grams (GPS + Cellular),42mm by 36mm by 9.7mm (42mm)
30 grams (aluminum\, GPS)
29.3 grams (aluminum\, GPS + Cellular)
34.4 grams (titanium)
Nylon composite and sapphire crystal back,Metal and sapphire crystal back
LTPO OLED Retina display,LTPO3 OLED Always-on Retina display
—,Wide-angle OLED
Up to 1000 nits brightness,Up to 2000 nits brightness
—,1 nit minimum brightness
44mm
368 by 448 pixels
977 sq mm display area,46mm
416 by 496 pixels
1220 sq mm display area
40mm
324 by 394 pixels
759 sq mm display area,42mm
374 by 446 pixels
989 sq mm display area
S8 SiP with 64-bit dual-core processor,S10 SiP with 64-bit dual-core processor
W3
Apple wireless chip,W3
Apple wireless chip
—,Second-generation Ultra Wideband chip44
—,4-core Neural Engine
32GB capacity,64GB capacity
—,Electrical heart sensor
Second-generation optical heart sensor,Third-generation optical heart sensor
Ambient light sensor,Ambient light sensor
—,Water temperature sensor
—,Depth gauge and Depth app
Speaker,Speaker
Media playback
Microphone,Microphone with voice isolation
Always-on altimeter,Always-on altimeter
Compass,Compass
Waypoints\, Backtrack\, and Elevation view,Waypoints\, Backtrack\, and Elevation view
High dynamic range gyroscope,High dynamic range gyroscope
—,ECG app1
—,Nightly wrist temperature tracking5
Cycle Tracking,Cycle Tracking with retrospective ovulation estimates6
Sleep tracking,Sleep tracking
—,Sleep apnea notifications3
Vitals app featuring heart rate\, respiratory rate\, and sleep duration4,Vitals app featuring heart rate\, respiratory rate\, wrist temperature\, and sleep duration4
Mindfulness app with state of mind tracking,Mindfulness app with state of mind tracking
Training load,Training load
Noise monitoring,Noise monitoring
GymKit,GymKit
LTE and UMTS
GPS + Cellular models,LTE and UMTS
GPS + Cellular models
Support for Apple Watch For Your Kids (GPS + Cellular models)45
Connect family members who don’t have an iPhone,Support for Apple Watch For Your Kids (GPS + Cellular models)45
Connect family members who don’t have an iPhone
Wi-Fi 4
802.11n,Wi-Fi 4
802.11n
Bluetooth 5.3,Bluetooth 5.3
L1 GPS\, GLONASS\, Galileo\, and QZSS,L1 GPS\, GLONASS\, Galileo\, QZSS\, and BeiDou
Offline maps46,Offline maps46
Apple Pay,Apple Pay
International emergency calling8,International emergency calling8
Emergency SOS7,Emergency SOS7
International roaming47,International roaming47
High-g accelerometer
Up to 256 g-forces with Fall Detection and Crash Detection,High-g accelerometer
Up to 256 g-forces with Fall Detection and Crash Detection
Built-in rechargeable lithium-ion battery,Built-in rechargeable lithium-ion battery
Up to 18 hours25,Up to 18 hours26
—,Up to 36 hours in
Low Power Mode26
—,Fast charge capable48
Water resistant
50 meters9,Water resistant
50 meters10
—,Depth to 6m / 20 ft.
—,Certified IP6X dust resistant49
Carbon neutral combinations available55,Carbon neutral combinations available55
100% recycled aluminum in the case,100% recycled aluminum in the case
—,95% recycled titanium in the case
100% recycled tungsten in the Taptic Engine,100% recycled tungsten in the Taptic Engine
100% recycled rare earth elements in all magnets,100% recycled rare earth elements in all magnets
100% recycled tin in the solder of multiple printed circuit boards,100% recycled tin in the solder of all Apple-designed printed circuit boards
100% recycled gold in plating of multiple printed circuit boards,100% recycled gold in plating of multiple printed circuit boards
—,100% recycled copper in multiple printed circuit boards
—,100% recycled copper wire in the Taptic Engine
—,100% recycled cobalt in the battery
Energy efficient56,Energy efficient56
Responsible packaging57,Responsible packaging57
Arsenic-free display glass58,Arsenic-free glass58
Mercury-\, BFR-\, and PVC-free58,Mercury-\, BFR-\, and PVC-free58
Apple Trade In59,Apple Trade In59
